;Tweets;len;ID;Created;Source;Likes;RTs
26;Tak jarang orang terkejut melihat sifat asli pasangan begitu tinggal bareng. Psikolog memberi tips agar kita tak ke… https://t.co/7KAWlOP1nA;140;1608040073446002689;2022-12-28 10:00:04+00:00;SocialFlow;54;13
27;Belajar main musik memang ribet. David Tarigan, seorang musisi dan pengarsip musik, juga merasakan hal yang sama. D… https://t.co/uVrWcC8QfV;140;1608024982105251840;2022-12-28 09:00:06+00:00;SocialFlow;57;10
28;Kebanyakan korban tewas akibat tergelincir selama badai salju terparah menghantam Jepang menjelang akhir 2022. https://t.co/PA6M0CGUqO;134;1607994783808487428;2022-12-28 07:00:06+00:00;SocialFlow;37;4
29;“Seks bukanlah segala-galanya bagi kami. Yang terpenting, kami bisa berpelukan tanpa perlu khawatir diperhatikan si… https://t.co/NNftvZ6AQz;140;1607979718283874304;2022-12-28 06:00:14+00:00;SocialFlow;162;23
30;Bagi para pelancong solo ini, jalan-jalan sendiri adalah upaya mengenal diri dan sekitar lebih dalam lagi. https://t.co/VLdeviCcSa;130;1607964608962207744;2022-12-28 05:00:11+00:00;SocialFlow;29;10
31;Kalian mau liburan? Enggak perlu menunggu ada teman barengan atau ikut tur bersama grup. Pergilah sendiri, dan buka… https://t.co/Jo7XFSso2J;140;1607934420064866305;2022-12-28 03:00:14+00:00;SocialFlow;17;7
32;Bagi yang akan melakukan perjalanan antar kota atau negara menjelang tahun baru, take care and safe travels ya 🤗;112;1607874048981082112;2022-12-27 23:00:20+00:00;SocialFlow;32;3
33;Bagi playlist atau album yang paling kalian suka di tahun ini dong!;67;1607768357989662721;2022-12-27 16:00:22+00:00;SocialFlow;50;6
34;Membuat daftar aktivitas yang bikin aku semangat lebih efektif mengurangi kecemasanku setelah tahun baru. https://t.co/TjYPDJDKCG;129;1607753255425118208;2022-12-27 15:00:21+00:00;SocialFlow;9;1
35;Langkah pertama, pahami dulu apa sebenarnya yang disebut 'anxiety'. https://t.co/EvzKzp0EEv;91;1607738145977602048;2022-12-27 14:00:18+00:00;SocialFlow;46;7
36;Apakah privasi pegawai warung makan, burjo, atau toko kelontong yang buka 24 jam terganggu? Ternyata, ada trik-trik… https://t.co/J1SNa7zQep;140;1607707916173250560;2022-12-27 12:00:11+00:00;SocialFlow;8510;1197
37;Apakah privasi pegawai warung makan, burjo, atau toko kelontong yang buka 24 jam terganggu? Ternyata, ada trik-trik… https://t.co/YsYgqf9YTF;140;1607677726739021824;2022-12-27 10:00:13+00:00;SocialFlow;194;44
38;Ada stigma yang melekat pada perempuan yang menjalin hubungan asmara dengan lelaki lebih muda. Mereka dicap aneh, b… https://t.co/KnV1OF4qa4;140;1607662616666595328;2022-12-27 09:00:11+00:00;SocialFlow;83;13
39;Tiga orang dominatrix itu menghadiri rapat pemkot di Florida, Amerika Serikat, sekaligus untuk mempromosikan klub m… https://t.co/k4dmAcE7Tj;140;1607647494044778497;2022-12-27 08:00:05+00:00;SocialFlow;15;1
40;Ada stigma yang melekat pada perempuan yang menjalin hubungan asmara dengan lelaki lebih muda. Mereka dicap aneh, b… https://t.co/WeoriWJpNV;140;1607632378150658049;2022-12-27 07:00:01+00:00;SocialFlow;30;5
41;Penelitian terbaru menyimpulkan perempuan yang sudah berkeluarga malas berhubungan intim karena capek mengurus pasa… https://t.co/JCD2FtKl1S;140;1607617297887203328;2022-12-27 06:00:06+00:00;SocialFlow;255;50
42;"Netizen pernah menyebut oleh-oleh khas Jakarta adalah ""uang"". VICE tertarik bertanya pada warga Jakarta, mencari ta… https://t.co/PYD72vSMXj";140;1607602224573677570;2022-12-27 05:00:12+00:00;SocialFlow;47;7
43;"""Pulau Surga"" di Filipina ini dianggap paling banyak menyimpan keindahan alam yang seakan tak ada habisnya, dalam v… https://t.co/rUIcBH1D1l";140;1607572034401230850;2022-12-27 03:00:14+00:00;SocialFlow;26;5
44;Boleh nih mulai susun resolusi tahun baru. Walaupun hidup ada-ada aja, tidak ada salahnya untuk menyiapkan rencana.;115;1607511617897472000;2022-12-26 23:00:10+00:00;SocialFlow;32;10
45;Mendekati akhir tahun, kamu tipe yang lebih suka refleksi kembali atau berfokus pada resolusi baru?;99;1607405973710290947;2022-12-26 16:00:22+00:00;SocialFlow;19;0
46;Fotografer Hanne Van Assche memotret keseharian kota Udachny di Rusia, yang suhunya bisa minus 43 derajat tapi pend… https://t.co/aYEJj3WZPs;140;1607390859397414912;2022-12-26 15:00:19+00:00;SocialFlow;14;2
47;Seksolog membeberkan aspek psikologis dari naiknya hasrat punya pacar, cuddling, dan tentu saja bercinta ketika sed… https://t.co/INPMOjxoqq;140;1607375779867901956;2022-12-26 14:00:24+00:00;SocialFlow;36;6
48;Algoritma TikTok dituding sangat cepat merekomendasikan video-video yang dapat membahayakan keselamatan remaja. Kon… https://t.co/l7ht6MAxk5;140;1607345525078069248;2022-12-26 12:00:10+00:00;SocialFlow;50;12
49;Memasuki pergantian tahun, kebanyakan orang dihadapkan pada realitas hidup masing-masing sehingga malam tahun baru… https://t.co/e1DvpSGNHF;139;1607330406424010753;2022-12-26 11:00:06+00:00;SocialFlow;42;5
50;Tak sedikit orang kecewa ketika resolusi tahun baru gagal terlaksana. Bagaimana kalau kita sengaja melanggar semuan… https://t.co/dTJp4UBfum;140;1607315316517871616;2022-12-26 10:00:08+00:00;SocialFlow;4;2
51;Hasil survei lapangan terbaru menyingkap ribuan permukiman milik suku Maya yang hidup di Guatemala sekitar 2.000 ta… https://t.co/oFepE0ZDme;140;1607300242889707520;2022-12-26 09:00:14+00:00;SocialFlow;105;15
52;Waktu tidur kita seringkali berantakan akibat terlalu lama mantengin layar ponsel, atau tidak segera menyelesaikan… https://t.co/pxJjyicW4P;139;1607285115704467456;2022-12-26 08:00:08+00:00;SocialFlow;13;1
53;Polisi di Maharashtra berhasil melacak keberadaan tersangka pembunuhan yang sudah puluhan tahun bersembunyi, berkat… https://t.co/RH2HLquGMx;140;1607270034572713985;2022-12-26 07:00:12+00:00;SocialFlow;63;10
54;Jumlah korban dari dugaan pelecehan seksual oleh dosen Universitas Andalas bertambah menjadi delapan. Ada yang samp… https://t.co/eGwNorpiFi;140;1607254911661789190;2022-12-26 06:00:06+00:00;SocialFlow;650;225
55;Masakan khas Jepang dan Korea itu ternyata enggak susah bikinnya. Kalau bosan makan mi instan dan pengin masak send… https://t.co/EzK2QDyVxs;140;1607239826067046401;2022-12-26 05:00:10+00:00;SocialFlow;5;1
56;Dopamin adalah elemen terpenting bagi Silicon Valley untuk menciptakan kebahagiaan semu, yang sebenarnya hanya meny… https://t.co/d8iUAWtcKQ;140;1607209634837700608;2022-12-26 03:00:12+00:00;SocialFlow;31;8
57;Gimana kemarin pas weekend? Semangat ya hari Senin-nya. Last week of the year nih!;82;1607149282578108421;2022-12-25 23:00:23+00:00;SocialFlow;27;0
58;Bagaimana rasanya merayakan Natal tahun ini buat kalian?;56;1607043571810435074;2022-12-25 16:00:19+00:00;SocialFlow;13;0
59;Serius lho, enam film lokal yang keren ini justru pas sekali ditonton pada momen Natal. Apalagi, kalau kalian sedan… https://t.co/MJwqbJKSD7;140;1607028479102517249;2022-12-25 15:00:21+00:00;SocialFlow;3;0
60;Membakar seseorang atau melempari kepalanya pakai batu bata, seperti dilakukan karakter Kevin, merupakan resep suks… https://t.co/S3B5u1Aifr;140;1607013392878899202;2022-12-25 14:00:24+00:00;SocialFlow;5;0
61;Christian membantu lebih dari 220 orang menemukan keluarga untuk menghabiskan liburan Natal bersama. https://t.co/q3DopCh8tx;124;1606983142228860930;2022-12-25 12:00:12+00:00;SocialFlow;6;0
62;"Berikut adalah esai reflektif soal Natal dari Rifqi Fairuz. ""Kalaupun dengan mengucapkan Natal secara otomatis kelu… https://t.co/ejlUBehJMS";140;1606968072174182400;2022-12-25 11:00:19+00:00;SocialFlow;67;16
63;Seringnya sentimentil berlebihan, kacrut, dan ceritanya enggak masuk akal. 'Home Alone' pengecualian lah (walaupun… https://t.co/UyWnoaAZRS;139;1606952944389300226;2022-12-25 10:00:12+00:00;SocialFlow;148;5
64;Muhammad Wasroni adalah anggota Banser yang sejak 2008 tak pernah absen terlibat pengamanan perayaan hari besar uma… https://t.co/iOeXpjXJDQ;140;1606937855191912449;2022-12-25 09:00:14+00:00;SocialFlow;16;2
65;Koleksi foto ini diterbitkan dalam rangka mencari fotografer terbaik yang mengabadikan Northern Lights setiap tahun… https://t.co/FW24moRCwM;140;1606922775721132032;2022-12-25 08:00:19+00:00;SocialFlow;385;70
66;Yang bagus dipilih, tapi bagi kebanyakan pohon, nasibnya akan berakhir kelam, sama seperti kita manusia. https://t.co/U8NLIHNPlm;128;1606907660259004416;2022-12-25 07:00:15+00:00;SocialFlow;31;4
67;Presiden Liberia George Weah tak ngantor nyaris dua bulan alasannya kunker ke luar negeri. Namun dia kepergok menon… https://t.co/RfPWSfH2LQ;140;1606892551079972864;2022-12-25 06:00:13+00:00;SocialFlow;261;21
68;Bagiku, dedikasi merayakan Natal tak boleh setengah-setengah. Sebisa mungkin mirip bule di lagu 'The 12 Days of Chr… https://t.co/M5MGkNMBGD;140;1606877435915542529;2022-12-25 05:00:09+00:00;SocialFlow;6;3
69;Ada banyak sekali keluarga yang terdiri dari ayah, ibu, atau anak berbeda agama. Bagaimana mereka merayakan Natal d… https://t.co/pTRM6hBjcn;140;1606847238562615296;2022-12-25 03:00:10+00:00;SocialFlow;54;11
70;Selamat hari Natal semuanya!;28;1606786893139640325;2022-12-24 23:00:22+00:00;SocialFlow;9;5
71;Film bertema Natal favorit kalian apa?;38;1606681168291794946;2022-12-24 16:00:15+00:00;SocialFlow;26;4
72;Kenapa juga suasana natal harus dinodai dengan film-film pembunuhan? https://t.co/CVCX0C4ZDE;92;1606666108714508289;2022-12-24 15:00:25+00:00;SocialFlow;10;1
73;Dia juga doyan menculik anak-anak yang bandel. Kendati begitu, niat Perchta sejatinya baik: ingin memastikan tradis… https://t.co/zpIoyfi96P;140;1606650989209161732;2022-12-24 14:00:20+00:00;SocialFlow;14;1
74;Robert Johansen, pemilik pabrik bir di pulau terpencil Norwegia ini, cuma iseng-iseng doang lho. Mantab... https://t.co/ayDHe54Had;130;1606620763351646210;2022-12-24 12:00:14+00:00;SocialFlow;11;1
75;Semoga masuk akal dan bisa diterima. Selamat natal btw :) https://t.co/SI5RFTz0bV;81;1606605670190546947;2022-12-24 11:00:15+00:00;SocialFlow;25;4
76;Kroni presiden Suriah Bashar al-Assad turun tangan dalam produksi dan penyelundupan obat sintetis captagon. Industr… https://t.co/G3PEszW2sx;140;1606590590594039808;2022-12-24 10:00:20+00:00;SocialFlow;358;41
77;Alih-alih mendapat pujian, kepolisian Filipina justru dikritik karena prank-nya “ga lucu”. https://t.co/kb02UvtrPi;114;1606575473588314115;2022-12-24 09:00:16+00:00;SocialFlow;21;2
78;Gereja Ganjuran di Bantul, Yogyakarta, terkenal berkat arsitektur khas Jawa di seluruh tempat peribadatannya. Sosok… https://t.co/kZ1ALLOqPl;140;1606560386362253314;2022-12-24 08:00:19+00:00;SocialFlow;1292;264
79;"""Patung nagamu cocoknya buat Halloween saja, bukan untuk natal,"" kata tetangga yang mengira perempuan yang pasang n… https://t.co/KcCg2KxqIE";140;1606545270292062209;2022-12-24 07:00:15+00:00;SocialFlow;8;0
80;Ratusan motif kuno raksasa berjuluk Garis Nazca ini menggambarkan manusia, burung, orca hingga kucing. Siapa masyar… https://t.co/F7IfIblApR;140;1606530145216520193;2022-12-24 06:00:09+00:00;SocialFlow;102;7
81;Sejak lama kita berasumsi konsumsi alkohol populer karena bikin tubuh hangat, tapi tak ada landasan ilmiahnya. Siap… https://t.co/6pH0g4z6Y7;140;1606515048737906690;2022-12-24 05:00:09+00:00;SocialFlow;86;11
82;Pusing karena rencana jalan-jalan akhir tahun batal semua? Jangan takut, jangan khawatir. Tips yang sudah dijajal a… https://t.co/7oQ4TNowLp;140;1606484882355544067;2022-12-24 03:00:17+00:00;SocialFlow;12;0
83;Buat kalian yang merayakan Natal dengan siapapun, biasanya ada tradisi apa aja?;79;1606318829184892930;2022-12-23 16:00:27+00:00;SocialFlow;13;0
84;Setelah pertama kali rilis pada 1998, baru di tahun 2020 game tersebut diterjemahkan ke Bahasa Inggris https://t.co/bW1S7Lcpdz;126;1606303713009729540;2022-12-23 15:00:23+00:00;SocialFlow;24;3
85;Keracunan jamur kemungkinan menjadi penyebab kejadian aneh tapi nyata di Prancis itu. https://t.co/y55LjGw4ln;109;1606288599330263043;2022-12-23 14:00:20+00:00;SocialFlow;21;2
86;Berbeda dari ghosting, pasangan yang melakukan “quiet dumping” masih muncul dalam hidupmu, tapi mereka tidak serius… https://t.co/VpDXUV5Ctk;140;1606258406964269057;2022-12-23 12:00:21+00:00;SocialFlow;48;6
87;Ilmuwan menemukan orang yang pernah mati suri atau mengonsumsi psikedelik seperti jamur tahi, cenderung bakal menyi… https://t.co/8ZX8j9khsL;140;1606243265417732096;2022-12-23 11:00:11+00:00;SocialFlow;209;61
88;Ilmuwan Universitas Kyoto melakukan improvisasi terhadap teknik penyuntingan gen CRISPR pada kecoak. Harapannya, mo… https://t.co/PcwFiMe0M5;140;1606228166074327041;2022-12-23 10:00:11+00:00;SocialFlow;8;1
89;"Kim Yo-jong menyamakan para pengamat internasional yang mengkritik satelit mata-mata ciptaan Korea Utara sebagai ""a… https://t.co/rIhp1LrmF7";140;1606213101472436224;2022-12-23 09:00:20+00:00;SocialFlow;63;5
90;Peramban yang leletnya legendaris ini akhirnya tutup usia. Pernah sangat jaya, belakangan Internet Explorer cuma be… https://t.co/kWLNrBGJ3P;140;1606197983971643398;2022-12-23 08:00:15+00:00;SocialFlow;24;6
91;Karyawan IT di Pemkot mentransfer data seluruh penduduk kota Amagasaki ke USB yang hilang di jalan. Data pajak ratu… https://t.co/v5YnLCsJuN;140;1606182900986150913;2022-12-23 07:00:19+00:00;SocialFlow;70;12
92;Aku sering dicap pemalas oleh guru, padahal aslinya aku susah fokus karena belajar di sekolah membosankan. Aku baru… https://t.co/r6YbxKOt0K;140;1606167780922990592;2022-12-23 06:00:14+00:00;SocialFlow;128;23
93;Ayahku tewas dibunuh, tapi dia sempat aktif memakai internet pada masa 1990-an. Dengan menelusuri jejaknya dari era… https://t.co/UhM31aYHwy;140;1606152707252830209;2022-12-23 05:00:20+00:00;SocialFlow;34;4
94;Tak peduli sama isu perubahan iklim? Kalian sekarang wajib peduli. Ponsel pintar kalian bisa enggak ada gunanya ket… https://t.co/8mTuJy9g0v;140;1606122483127668736;2022-12-23 03:00:14+00:00;SocialFlow;24;8
95;Cuaca lagi kurang baik nih. Kabar kamu gimana? Jaga kesehatan ya.;65;1606062111326539776;2022-12-22 23:00:21+00:00;SocialFlow;50;13
96;Natal menjadi salah satu hari raya yang paling meriah dirayakan. Namun, banyak juga yang merasa kesepian karena ber… https://t.co/OwvK6nuyXQ;140;1605956419169181697;2022-12-22 16:00:22+00:00;SocialFlow;17;3
97;Astronot yang kelak mendarat di Mars bisa bikin bangunan dari darah, keringat, hingga urinnya sendiri. https://t.co/r8zEj7zy5t;126;1605941283725385730;2022-12-22 15:00:13+00:00;SocialFlow;18;1
98;Jawaban dokter cukup mengejutkan kita semua yang didoktrin untuk tidak mengambil lagi makanan jatuh (asal ga di tan… https://t.co/dqh5j1jMqd;140;1605926227562598401;2022-12-22 14:00:23+00:00;SocialFlow;5;1
99;"Di episode ""VICE Soundcheck"" kali ini, kita bakal membahas lima lagu Indonesia yang cocok buat ngedukung kalian saa… https://t.co/ZVy7fcbEEc";140;1605895965097041922;2022-12-22 12:00:08+00:00;SocialFlow;4;2
100;Nilai jual kripto semakin ambruk di tengah maraknya skandal penipuan dan peretasan. Gimana kabar tech bro yang dulu… https://t.co/F0ZZKzvRLV;140;1605850666177597443;2022-12-22 09:00:08+00:00;SocialFlow;51;11
101;Nilai jual kripto semakin ambruk di tengah maraknya skandal penipuan dan peretasan. Gimana kabar tech bro yang dulu… https://t.co/oeCZ8R5V4k;140;1605843008200531971;2022-12-22 08:29:42+00:00;SocialFlow;2;2
102;Koleksi foto ini diterbitkan dalam rangka mencari fotografer terbaik yang mengabadikan Northern Lights setiap tahun… https://t.co/IPPHfYu52R;140;1605820468937871361;2022-12-22 07:00:09+00:00;SocialFlow;4;0
