;Tweets;len;ID;Created;Source;Likes;RTs
134;Satu orang tewas sementara 11 luka-luka dalam insiden tarik tambang dengan ribuan peserta yang digelar IKA Universi… https://t.co/Ke7IHhG5OY;140;1604800125792026628;2022-12-19 11:25:40+00:00;SocialFlow;20;3
135;Contohnya Liberia, negara itu sudah melarang sunat perempuan selama tiga tahun, tapi masih banyak kepala adat memak… https://t.co/7Qn6COor1Z;140;1604763528233209859;2022-12-19 09:00:14+00:00;SocialFlow;47;7
136;Ratusan motif kuno raksasa berjuluk Garis Nazca ini menggambarkan manusia, burung, orca hingga kucing. Siapa masyar… https://t.co/1TaKQzOslw;140;1604748453724278785;2022-12-19 08:00:20+00:00;SocialFlow;5;0
137;Contohnya Liberia, negara itu sudah melarang sunat perempuan selama tiga tahun, tapi masih banyak kepala adat memak… https://t.co/AtiiwQ9KuP;140;1604735566125453315;2022-12-19 07:09:08+00:00;SocialFlow;10;1
138;Tak perlu kaget bila banyak Gen Z sudah jadi ortu, angkatan tertuanya aja berusia 27 tahun. Apa saja pola parenting… https://t.co/eD9uX4Uzvu;140;1604703129655812096;2022-12-19 05:00:14+00:00;SocialFlow;35;12
139;Gangguan belajar ini dialami banyak anak, tapi sering diabaikan di berbagai tingkatan sistem pendidikan Tiongkok. https://t.co/VxgV0rsl4y;137;1604672928569872386;2022-12-19 03:00:14+00:00;SocialFlow;35;7
140;Daniella Chavez, dulunya model Majalah Playboy, meraup dana besar beberapa pekan saja di OnlyFans agar klub bola ko… https://t.co/1Mi3v0Pc1j;140;1604491920759087104;2022-12-18 15:00:58+00:00;SocialFlow;9;1
141;Tradisi nusantara amat terobsesi pada ritual kematian. Setelah sekian tahun dikaji sambil lalu, akhirnya museum etn… https://t.co/zEAOhJW7PU;140;1604476696987516930;2022-12-18 14:00:28+00:00;SocialFlow;28;6
142;Korea Selatan punya tradisi menghasilkan film-film bagus. 'Parasite' hanya contoh terbarunya. Tertarik mendalami si… https://t.co/SsDum7dCh6;140;1604446442248146945;2022-12-18 12:00:15+00:00;SocialFlow;65;14
143;"Tren seleb di Indonesia beramai-ramai membeli klub sepakbola memicu pertanyaan: ""apakah industri bola lokal mulai s… https://t.co/zzWi6wmZbn";140;1604431349921861632;2022-12-18 11:00:17+00:00;SocialFlow;8;3
144;Bahkan dari masa 11 ribu tahun lalu, manusia kayaknya sudah suka bikin cerita dewasa. Relief cowok pegang penis ini… https://t.co/43UMPBhyyi;140;1604416212686995457;2022-12-18 10:00:08+00:00;SocialFlow;63;10
145;Perburuan sosok diduga memiliki ilmu hitam masih lazim dilakukan di pedesaan, walau dilarang hukum. Kami ngobrol de… https://t.co/5GgZRX9EdE;140;1604401140803796992;2022-12-18 09:00:14+00:00;SocialFlow;8;1
146;Saya yang kaum rebahan merasa cupu kenalan lewat aplikasi. Pandangan saya berubah berkat tips suhu-suhu aplikasi ke… https://t.co/3PyZqZ5L4g;140;1604370938593775616;2022-12-18 07:00:14+00:00;SocialFlow;12;0
147;Brasil tersingkir dari Qatar, tapi penduduk Lyari bakal selalu jadi 'si paling Brasil' selama Piala Dunia. “Perawak… https://t.co/OUBjXpE8IR;140;1604355872607682565;2022-12-18 06:00:22+00:00;SocialFlow;13;0
148;Membasmi kucing liar diyakini satu-satunya solusi melindungi spesies iguana langka di surga pajak Kepulauan Cayman.… https://t.co/kQMTTj7rMd;140;1604355843423670272;2022-12-18 06:00:15+00:00;SocialFlow;112;15
149;Proyek Raphael Truffi Bortholuzzi bernama Granmondo ini luar biasa detail. Simak foto-foto miniatur buatannya di ar… https://t.co/yN6jEFmz9e;140;1604340734383071232;2022-12-18 05:00:12+00:00;SocialFlow;19;3
150;Setelah semua cowok 'korbannya' ngumpul di lokasi yang sama, si cewek langsung menggelar kompetisi ala ‘Hunger Game… https://t.co/fMbc9M7E87;140;1604310554004393984;2022-12-18 03:00:17+00:00;SocialFlow;70;17
151;Penderita trigeminal neuralgia merasa seperti wajahnya ditusuk besi panas. https://t.co/Cky6rXu91i;98;1604129532772065280;2022-12-17 15:00:58+00:00;SocialFlow;12;1
152;Rekaman suara cerita erotis dikatakan bisa menenangkan pikiran gelisah. Selain itu, skenarionya lebih menarik. https://t.co/98xufxCR4G;134;1604114281464741892;2022-12-17 14:00:22+00:00;SocialFlow;39;4
153;Terobosan teknologi ini kayak plot film 'Eternal Sunshine of Spotless Mind', tapi yang diubah ingatan siput. https://t.co/kHnWC3FmCS;132;1604084063337422849;2022-12-17 12:00:17+00:00;SocialFlow;9;1
154;Menonton Radiohead manggung adalah salah satu cara memahami misteri-misteri menyelimuti ini. https://t.co/Fybln2GwZT;116;1604068997523279873;2022-12-17 11:00:25+00:00;SocialFlow;283;106
155;Orang yang terlilit utang cenderung impulsif karena stres, yang dapat memperparah masalah keuangan mereka. Maka pen… https://t.co/aIMS0CBF4H;140;1604053852709392385;2022-12-17 10:00:15+00:00;SocialFlow;71;21
156;Gugatan ini dilayangkan ke Partai Garuda yang lolos pemilu 2024. Bawaslu sebut lebih dari 20 ribu identitas warga d… https://t.co/OFIdwluQzN;140;1604038768612229121;2022-12-17 09:00:18+00:00;SocialFlow;209;55
157;Penulis Luc Sante mengenang bagaimana berartinya skena musik New York pada dekade 1970an, betapa kita harus berteri… https://t.co/2KYTrmUtvW;140;1604023650277113856;2022-12-17 08:00:14+00:00;SocialFlow;55;10
158;Siswa asal Kanada ini cuma pengin ndengerin musik pas garap soal. Inspirasi bagi pelajar lain seluruh dunia. https://t.co/fgqGyDsxvB;132;1604008555467735041;2022-12-17 07:00:15+00:00;SocialFlow;79;10
159;Kok ada yang mau beli mahal lukisan kayak gitu ya? Kami pun ngobrol sama sang pelukis, Chriss Mann, yang biasa meng… https://t.co/OFRQA57EfZ;140;1603978353379246080;2022-12-17 05:00:14+00:00;SocialFlow;5;1
160;Dia berhasil menggondol uang tunai yang totalnya puluhan ribu Shekel, sebelum ketahuan mencuri bermodalkan alpukat… https://t.co/qGtTAQDubt;139;1603948138405978113;2022-12-17 03:00:10+00:00;SocialFlow;37;8
161;Happy birthday to Krysten Ritter 🫡🫡🫡🫡;37;1603782087550582787;2022-12-16 16:00:21+00:00;SocialFlow;19;6
162;Hasil tinjauan ilmiah menyimpulkan hewan laut macam gurita dan udang juga dapat merasakan sakit. Alhasil, binatang… https://t.co/YuUomj00oM;139;1603767128401887232;2022-12-16 15:00:54+00:00;SocialFlow;30;7
